


User 5%, System 5%, IOW 0%, IRQ 0%
User 16 + Nice 0 + Sys 18 + Idle 273 + IOW 0 + IRQ 0 + SIRQ 0 = 307

  PID PR CPU% S  #THR     VSS     RSS PCY UID      Name
11890  0   5% R     1   2648K    948K     shell    top
 1219  0   2% S    44 1247328K 181064K  fg u0_a20   com.android.systemui
  943  0   1% S   140 1230720K 104136K  fg system   system_server
11617  0   0% S     1      0K      0K     root     kworker/u8:23
 2000  0   0% S     6   6232K    380K     root     /system/bin/mpdecision
  421  0   0% S    44 258856K  12392K  fg media    /system/bin/mediaserver
    3  0   0% S     1      0K      0K     root     ksoftirqd/0
 1419  0   0% S    40 1046972K  47256K  fg radio    com.android.phone
 1784  0   0% S    47 989340K  34340K  fg u0_a13   com.google.process.location
   33  0   0% D     1      0K      0K     root     kworker/u9:0
  318  0   0% S     1      0K      0K     root     irq/571-SSP_Int
   18  2   0% S     1      0K      0K     root     kworker/2:0H
   19  3   0% R     1      0K      0K     root     migration/3
   20  3   0% R     1      0K      0K     root     ksoftirqd/3
   23  1   0% S     1      0K      0K     root     khelper
   24  1   0% S     1      0K      0K     root     netns
   27  2   0% S     1      0K      0K     root     kworker/2:1
   30  1   0% S     1      0K      0K     root     smd_channel_clo
   31  1   0% S     1      0K      0K     root     smsm_cb_wq
   32  0   0% D     1      0K      0K     root     kworker/u8:1
   34  1   0% S     1      0K      0K     root     rpm-smd
   35  1   0% S     1      0K      0K     root     kworker/u9:1
   36  1   0% S     1      0K      0K     root     mpm
   58  1   0% S     1      0K      0K     root     deferwq
   59  1   0% S     1      0K      0K     root     writeback
   60  1   0% S     1      0K      0K     root     bioset
   61  1   0% S     1      0K      0K     root     kblockd
   62  1   0% S     1      0K      0K     root     ata_sff
   63  0   0% S     1      0K      0K     root     khubd
   72  1   0% S     1      0K      0K     root     irq/444-max7780
   76  2   0% S     1      0K      0K     root     kworker/2:1H
   77  3   0% S     1      0K      0K     root     kworker/3:1H
   78  0   0% S     1      0K      0K     root     system
   79  1   0% S     1      0K      0K     root     irq/261-msm_iom
   80  1   0% S     1      0K      0K     root     irq/263-msm_iom
   81  1   0% S     1      0K      0K     root     irq/261-msm_iom
   82  1   0% S     1      0K      0K     root     irq/263-msm_iom
   83  1   0% S     1      0K      0K     root     irq/261-msm_iom
   84  1   0% S     1      0K      0K     root     irq/263-msm_iom
   85  1   0% S     1      0K      0K     root     irq/261-msm_iom
   86  1   0% S     1      0K      0K     root     irq/263-msm_iom
   87  1   0% S     1      0K      0K     root     irq/261-msm_iom
   88  1   0% S     1      0K      0K     root     irq/263-msm_iom
   89  1   0% S     1      0K      0K     root     irq/261-msm_iom
   90  1   0% S     1      0K      0K     root     irq/263-msm_iom
   91  1   0% S     1      0K      0K     root     irq/261-msm_iom
   92  1   0% S     1      0K      0K     root     irq/263-msm_iom
   93  1   0% S     1      0K      0K     root     irq/261-msm_iom
   94  1   0% S     1      0K      0K     root     irq/263-msm_iom
   95  1   0% S     1      0K      0K     root     irq/261-msm_iom
   96  1   0% S     1      0K      0K     root     irq/263-msm_iom
   97  1   0% S     1      0K      0K     root     irq/102-msm_iom
   98  1   0% S     1      0K      0K     root     irq/102-msm_iom
   99  1   0% S     1      0K      0K     root     irq/102-msm_iom
  100  1   0% S     1      0K      0K     root     irq/79-msm_iomm
  101  1   0% S     1      0K      0K     root     irq/78-msm_iomm
  102  1   0% S     1      0K      0K     root     irq/78-msm_iomm
  103  1   0% S     1      0K      0K     root     irq/74-msm_iomm
  104  1   0% S     1      0K      0K     root     irq/75-msm_iomm
  105  1   0% S     1      0K      0K     root     irq/75-msm_iomm
  106  1   0% S     1      0K      0K     root     irq/273-msm_iom
  107  1   0% S     1      0K      0K     root     irq/273-msm_iom
  108  1   0% S     1      0K      0K     root     irq/273-msm_iom
  109  1   0% S     1      0K      0K     root     irq/97-msm_iomm
  110  1   0% S     1      0K      0K     root     irq/97-msm_iomm
  111  1   0% S     1      0K      0K     root     irq/97-msm_iomm
  112  1   0% S     1      0K      0K     root     irq/174-msm_iom
  113  1   0% S     1      0K      0K     root     irq/174-msm_iom
  114  1   0% S     1      0K      0K     root     irq/174-msm_iom
  115  1   0% S     1      0K      0K     root     irq/174-msm_iom
  116  1   0% S     1      0K      0K     root     irq/174-msm_iom
  117  1   0% S     1      0K      0K     root     irq/174-msm_iom
  118  1   0% S     1      0K      0K     root     irq/174-msm_iom
  119  1   0% S     1      0K      0K     root     irq/174-msm_iom
  120  1   0% S     1      0K      0K     root     irq/177-msm_iom
  121  1   0% S     1      0K      0K     root     irq/176-msm_iom
  122  1   0% S     1      0K      0K     root     irq/176-msm_iom
  123  1   0% S     1      0K      0K     root     irq/235-msm_iom
  124  1   0% S     1      0K      0K     root     irq/297-msm_iom
  125  1   0% S     1      0K      0K     root     irq/297-msm_iom
  126  1   0% S     1      0K      0K     root     irq/297-msm_iom
  127  1   0% S     1      0K      0K     root     irq/212-msm_iom
  128  1   0% S     1      0K      0K     root     irq/299-msm_iom
  129  1   0% S     1      0K      0K     root     irq/299-msm_iom
  130  1   0% S     1      0K      0K     root     devfreq_wq
  131  1   0% S     1      0K      0K     root     cfg80211
  134  1   0% S     1      0K      0K     root     irq/541-adsp
  135  1   0% S     1      0K      0K     root     kswapd0
  136  0   0% S     1      0K      0K     root     fsnotify_mark
  137  1   0% S     1      0K      0K     root     ecryptfs-kthrea
  138  1   0% S     1      0K      0K     root     crypto
  250  1   0% D     1      0K      0K     root     mdss_dsi_event
  251  1   0% S     1      0K      0K     root     hdmi_tx_workq
  252  1   0% S     1      0K      0K     root     sii8240-cmdwq
  253  1   0% S     1      0K      0K     root     sii8240-aviwq
